Index,FEN,Answer1,Answer2,CorrectAnswer
97,3r2k1/3P2p1/1p2qp1p/2n5/p1N2P2/P5P1/2Q1R2P/6K1 b - - 0 1,Rxd7,Qc6,Answer2
98,r2q1r1k/1b3ppp/p1n1pn2/1p2N3/1b1P1P2/2NBB3/PP4PP/2RQ1RK1 w - - 0 1,a3,Ne4,Answer1
99,r1bqkb1r/ppp2ppp/8/3np1N1/2P5/5Q2/P1PP1PPP/RNB1K2R b KQkq - 0 1,Nb6,Nf4,Answer2
100,r1b4k/1p2N1p1/p1pq3p/3p4/P2P2n1/3B4/1PP1QPP1/R3R1K1 w - - 0 1,Ng6+,Nf5,Answer1
101,rnbr1k2/pp1p1p2/q1p2p1p/4pN2/1b2P1Q1/2NP4/PPP2PPP/R4RK1 b - - 0 1,d5,d6,Answer1
102,rnb3k1/pppp1r1p/6p1/4Q3/4N2q/1PB4n/P1P1PP1P/R3K2R b - - 0 1,Nxf2,Kf8,Answer2
103,3qrk2/3bb1pQ/1p3p2/p7/7B/3B4/PPP2PPP/RN2K2R w KQ - 0 1,O-O,Bc4,Answer1
104,8/2k2p2/2p5/2P5/3K4/8/8/8 b - - 0 1,Kb7,f5,Answer1
105,r4rk1/1p3pbp/p3pnp1/2p3B1/4P3/3BP3/PPP3PP/R4RK1 b - - 0 1,Ng4,b5,Answer1
106,rn1k1r2/4b1R1/pp1p3Q/2q1p3/6B1/8/P4PPP/3R2K1 w - - 0 1,Qe6,Kh1,Answer2
107,2r1k2r/p4p2/4p3/q1ppbPQp/1p1n2P1/3B3P/PPP2B2/R4RK1 w k - 0 1,fxe6,Bh4,Answer2
108,5rk1/4b1pp/p3q3/1p2Pp2/4Q1P1/1P3N1P/nB3P2/1K1R4 w - - 0 1,Nd4,gxf5,Answer1
109,r2q2k1/2p3pp/p1pb1r2/4p3/4N3/5P1P/PPP2P2/R2QR1K1 b - - 0 1,Rh6,Rxf3,Answer1
110,7k/p3RRp1/8/7p/8/4P3/P3q1PP/6K1 w - - 0 1,h3,Rxg7,Answer1
111,Q6r/p3b1k1/4p1pq/P7/2P5/6P1/1P2BP2/4R1K1 w - - 0 1,Qb7,Qg2,Answer2
112,5q1k/p3b1pp/3p4/2p1P3/4P3/2PQ4/Pr4PP/R3NK2 w - - 0 1,Qf3,Kg1,Answer1
113,1k1r4/ppp1r1q1/7p/1Q1pNpp1/3Pn3/P1P3PP/1P2R3/2K5 b - - 0 1,Nxg3,Ka8,Answer2
114,r7/1ppb2kr/p1n1p3/5p2/3P2q1/2PB2P1/PPQ5/1K2RR2 b - - 0 1,Qxg3,Rh3,Answer2
115,r1b2rk1/ppp1qppp/3p4/8/3QP1n1/4B3/PPP2PPP/2KR1B1R w - - 0 1,Bd2,Bf4,Answer2
116,rnbq2nr/1p1kp2p/2pp4/p6Q/2BPP3/2N5/PPP2PPP/R4RK1 b - - 0 1,Kc7,Qe8,Answer1
117,1r3r1k/3R2p1/7p/p1N5/8/6P1/5qBP/Q6K b - - 0 1,Qxc5,Rb2,Answer2
118,r1bqkr2/pppp2pp/6n1/4N2Q/1bB1P3/1PN5/PBP3PP/2KR4 w q - 0 1,Qxh7,Nxg6,Answer2
119,2k1r2r/ppp2p1p/6p1/4Pq2/3p1n2/PP1P1N1P/2PK1Q2/4R1R1 w - - 0 1,Nxd4,Re4,Answer1
120,6k1/1R4pp/8/4N3/5B2/6P1/4q2P/6K1 w - - 0 1,Rb8#,g4,Answer1
121,r1b1R1k1/2qn1p2/p5p1/1p1p3p/7Q/P2B4/1bP2PPP/R5K1 b - - 0 1,Kg7,Kh7,Answer1
122,1b4kr/rpq2R2/p7/6pN/1P2p3/P3P1N1/6PP/5R1K b - - 0 1,Qd6,Qxf7,Answer2
123,4r1k1/2p4p/p2p2p1/1p1P4/3Q2P1/1B5q/PP3P2/3R2K1 w - - 0 1,Rd3,Qf4,Answer2
124,3r3k/4Rppp/2pP4/1p1qP3/5P2/6P1/PP2Q2P/6K1 w - - 0 1,a3,d7,Answer1
125,r2qr1k1/ppp1bpP1/2npbn1p/8/5Q2/4P3/PPPP1PP1/RNB1KB1R b KQ - 0 1,Ng4,Ne5,Answer1
126,rnbqk1nr/ppp2ppp/4p3/8/3Pp3/2B2P2/PPP3PP/R2QKBNR b KQkq - 0 1,Nf6,Nc6,Answer1
127,8/4k1pp/1p3pq1/p3n3/4P3/P1B2P2/1P4PP/3Q2K1 w - - 0 1,Bd4,Qd4,Answer1
128,r1bq1rk1/pp3pb1/2n5/2pNp1NQ/2P3n1/3P4/PP2BPPP/R4RK1 b - - 0 1,Nh6,Nf6,Answer1
129,rnbq1rk1/ppp1bppp/3p1n2/3Np3/4P3/3P1N2/PPP2PPP/R1BQKB1R w KQ - 0 1,Nxe7+,Bg5,Answer1
130,1r4k1/p4ppp/Q3p3/3qN3/3P4/P3B1P1/5P1P/6K1 w - - 0 1,Qxa7,Qd3,Answer2
131,1r4k1/1p1N1ppp/3Pp3/8/4P3/3n1P2/3QK1Pq/R7 b - - 0 1,Nf4+,Qxg2+,Answer1
132,2R5/3rkp2/pB1p1bpQ/1p6/4P2P/5P2/6PK/4q3 w - - 0 1,Bd8+,Qf8+,Answer2
133,rn1qkb1r/pbpp1ppp/1p2pn2/8/3PP3/3B4/PPP1QPPP/RNB1K1NR w KQkq - 0 1,e5,Nf3,Answer2
134,8/pQrkbp1p/3p1p2/4p3/4P1P1/1N3P2/PPP1q2P/1K1R3R w - - 0 1,Rhe1,Nc5+,Answer2
135,2kr3r/p1p2Q1p/2p5/3p4/P2P1Rnp/2P1P1P1/2q5/R1B3K1 w - - 0 1,Qe6+,Rxg4,Answer1
136,5rk1/7p/1p3RpP/p1q5/7Q/8/PP4P1/7K w - - 0 1,Rxf8+,Re6,Answer1
137,r4rk1/pp4q1/2p1Q1pR/5nP1/5P2/2N5/PPP5/2K5 b - - 0 1,Rf7,Qf7,Answer2
138,4r1k1/4qppp/p1Q5/1r2P3/2pp1P2/8/1PP3PP/4RRK1 b - - 0 1,Qe6,Qa7,Answer1
139,8/2p5/pk6/8/R1P1P3/8/7K/4r3 b - - 0 1,Rxe4,c5,Answer2
140,r7/PR4p1/5pkp/6P1/4pPK1/3rP2P/8/8 b - - 0 1,Rxe3,f5+,Answer2
141,3r2k1/pp5p/5p2/nPbr1q2/8/P4N1R/1B2QPPP/R4K2 w - - 0 1,Nh4,Re1,Answer2
142,2r3k1/p2q1p1p/Q4p2/4nN2/1P6/P3P2P/1B3PPK/8 b - - 0 1,Qxf5,Rc2,Answer1
143,6k1/5p2/p4P2/P3P1p1/5r1p/2R5/6PK/8 b - - 0 1,Kh7,Ra4,Answer1
144,2b1k3/p2qr1pp/3b4/8/3p4/4Q3/PP3PPP/RNB2RK1 w - - 0 1,Qd3,Qxd4,Answer1
145,1r6/3k4/N6p/5p2/5P2/P3P1K1/8/8 b - - 0 1,Rc8,Rb3,Answer1
146,8/8/8/8/8/4k1p1/6K1/7b w - - 0 1,Kxg3,Kxh1,Answer1
147,r4rk1/1p1q1pp1/2p1pP1p/3p4/3P1P2/2p4P/1PP1QP2/2KR1B1R w - - 0 1,bxc3,fxg7,Answer1
148,r2qk2r/p3bpQp/bpp5/3n2N1/8/2P5/PP3PPP/RNB1K2R b KQkq - 0 1,Bf6,Rf8,Answer2
149,rnb1kb1r/pppp1ppp/8/3qN3/4n3/2BB4/PPP2PPP/RN1QK2R w KQkq - 0 1,Qe2,f3,Answer1
150,7r/4k3/NR6/8/3pP1np/3n4/P5PK/R7 w - - 0 1,Kg1,Kh3,Answer1
151,8/7k/2R1p2p/Q7/P1Pp1qb1/3n1B2/1R2PK2/8 w - - 0 1,Kg2,Kf1,Answer1
152,8/8/2P3R1/5p2/8/4p1P1/3pK1k1/Q1r5 w - - 0 1,Qa4,Kxe3,Answer1
153,1r1q3k/3r2p1/pp1nR2p/2pQ4/8/8/P1P2PPP/3R2K1 w - - 0 1,Qe5,Rxd6,Answer2
154,5rk1/6bp/b1Np2p1/p2Pp3/2p3q1/2Pn2P1/PPQB2BP/R5K1 w - - 0 1,Rf1,Be3,Answer2
155,r3kbr1/1p1b1p2/pqn1p2p/1B2B1p1/2P5/5N2/PP2QPPP/R4RK1 w q - 0 1,Ba4,Bxc6,Answer2
156,8/1r5p/6p1/2R1p1P1/7P/1p1p1P2/1B1k1K2/8 b - - 0 1,Kd1,e4,Answer2
157,3r2k1/1pb3r1/2q2pp1/8/1Q1P1P2/1P3NR1/5P2/3R3K w - - 0 1,Qc4+,Rh3,Answer1
158,4r1k1/5ppp/3b4/3Bq3/Q7/P6P/5PP1/2R3K1 w - - 0 1,Qd1,g3,Answer2
159,4r1k1/p2qppb1/3p2pp/1p6/1PrP4/P3QBP1/5P1P/2R1R1K1 b - - 0 1,Rxd4,d5,Answer2
160,r2r2k1/pb3pp1/1p1p1q2/1Q2pNN1/5nPP/5P2/PPP5/2KR3R b - - 0 1,d5,g6,Answer1
161,2bq1k1r/pp4pp/4pb2/3pN3/1P3QP1/8/P4P1P/1B1R2K1 b - - 0 1,g5,Qd6,Answer1
162,3rrbk1/pb3pp1/1p1p2p1/3Pp2n/2P4P/PP2qP2/1B2N1P1/1BRQ1R1K w - - 0 1,Rc3,Kh2,Answer2
163,2Q2R2/5ppk/4r2p/pp3q2/8/7P/5PP1/3R2K1 w - - 0 1,Qd7,Qc7,Answer2
164,2Q3n1/4bpk1/3p2q1/5R2/1p6/2P5/PP4PP/7K w - - 0 1,cxb4,Rf3,Answer1
165,8/5rq1/2k2P2/8/1K6/8/4R3/5Q2 b - - 0 1,Rb7+,Rxf6,Answer1
166,5rk1/2p1Qp1p/6pP/3p2P1/q1p2P2/p4N1K/Pb6/8 b - - 0 1,Qc6,c3,Answer1
167,5rk1/1p5p/p5n1/2p1p3/4P3/Pb2Q1PP/1q3P2/3RKB1R w K - 0 1,Rc1,Qc1,Answer1
168,8/1pp1kr2/8/p1N2pQp/3Pp3/5qP1/5P1P/6K1 b - - 0 1,Rf6,Kf8,Answer1
169,r1b1r1k1/1p3pbp/pB1R1np1/8/2B1p2N/2P2P2/PP2R1PP/6K1 b - - 0 1,g5,exf3,Answer1
170,r2k3r/pp3ppp/3p4/1BpPn1q1/4Q3/P1P1P2b/3B1PPP/R4RK1 w - - 0 1,Kh1,f4,Answer2
171,rnbqkb1r/pppp1ppp/8/4P3/4n3/8/PPPP2PP/RNBQKBNR w KQkq - 0 1,Nf3,Qe2,Answer1
172,rn1q2nr/ppp2kpp/3p4/2b5/4P1b1/2N2N2/PP3PPP/R1BQK2R w KQ - 0 1,Ne5+,Ng5+,Answer1
173,3Q2k1/pppN1p2/3n2pp/3p4/3q4/7P/P4PP1/6K1 b - - 0 1,Kg7,Kh7,Answer1
174,r3k2r/1b4p1/pP1bp3/5p2/2P3p1/8/P2N1BPP/RNQ2R1K w - - 0 1,c5,Bg1,Answer2
175,r1bq2kr/ppp3pp/2n5/2b1p1N1/4QP2/3p4/PPP3PP/RNB2R1K b - - 0 1,h6,Qd4,Answer2
176,8/5kp1/2p5/2P1npP1/1P1pq3/3N4/1KP5/5Q2 b - - 0 1,Kg6,Nf3,Answer1
177,r7/P3k3/2p1p3/2NpP1K1/3Pp3/4P3/4b3/R7 w - - 0 1,Kf4,Kh6,Answer2
178,r3r1k1/pQ3pbp/6p1/4n3/3p4/1P1P2Pq/PB3P1P/R3RNK1 b - - 0 1,Nxd3,Qf5,Answer2
179,3rr1k1/ppp2p1p/5p2/8/8/2PBR1P1/b4P1P/3R2K1 b - - 0 1,Rxe3,Bc4,Answer1
180,6k1/p4pp1/2p3p1/1p6/3rP3/1PN2P2/P1Pn2PP/3R2K1 w - - 0 1,Kf2,Ne2,Answer1
181,2b1k1r1/3qb1pp/1B3p2/3P4/4Q3/8/r4PPP/1R2R1K1 b - - 0 1,Kf8,Bb7,Answer1
182,rn2k1nr/ppp2p1p/3p1P1b/8/5pQ1/3P4/PPq3PP/RNB2R1K b kq - 0 1,Nxf6,Nd7,Answer2
183,8/p1kn2b1/2p2r1p/Np4pP/8/8/PPP1Nn2/2K2R1R w - - 0 1,Rh2,Rhg1,Answer2
184,r1b1kb1r/pp3ppp/2nqp3/1B1n4/3QP3/2N5/PP1B1PPP/R3K1NR b KQkq - 0 1,Nc7,a6,Answer1
185,rn1qkbr1/pp3p1p/2p1B1p1/4Q3/3P4/P3P3/1P3PPP/R1B1K2R b KQq - 0 1,Bd6,fxe6,Answer1
186,r5k1/p5pp/1q2br2/3pp3/6BP/1P4P1/P4P2/2RQ1RK1 b - - 0 1,Bxg4,Raf8,Answer2
187,5rk1/pp3pp1/2pr4/3P4/4nP2/1P2P1Pq/PBQ1R3/4K1R1 b - - 0 1,f5,Nxg3,Answer1
188,r1b1kbr1/pp1ppp1p/1q3p2/1B6/8/1Q2B3/PPP2PPP/R3K2R b KQq - 0 1,Qe6,Qc7,Answer2
189,r1bqkbr1/p1pn1p1p/1p2pn1Q/8/3PpB2/2N3N1/PPP2PPP/R3KB1R w KQq - 0 1,Qh4,Qh3,Answer2
190,1r2r1k1/1Q3ppp/p4q2/8/3b4/8/PP3PPP/1RB2RK1 w - - 0 1,Qd5,Qf3,Answer2
191,r6k/6bp/6p1/2p1p3/1q1nB3/p2PBP2/6PP/Q4RK1 w - - 0 1,Bxd4,Rb1,Answer1
192,r4rk1/bpp2ppp/p1np2n1/8/P1BPP2q/1P3PN1/1B3P1P/R2QK1R1 b Q - 0 1,Qxh2,Nce7,Answer2
193,rn2kb1r/ppp2ppp/5q2/4Pb2/4nP2/2N2QP1/PPP4P/R1B1KB1R b KQkq - 0 1,Qg6,Qc6,Answer1
194,3r2k1/p5pp/2p1bp2/4p3/8/P1p1P1P1/2RN1PBP/6K1 w - - 0 1,Nf1,Ne4,Answer1
195,2k5/2p3pp/p1P2n2/8/2Pp2PP/1P3PK1/P1br4/4R2R w - - 0 1,Re7,g5,Answer1
196,5r2/pp1N1p2/3p3R/3r1kP1/8/2K5/Pn6/6R1 b - - 0 1,Rd8,Nd1+,Answer2
197,1r3rk1/p1pb1p1p/2p3pQ/2bpP3/q7/3B3P/PPP3P1/R1B2R1K b - - 0 1,Be7,Qd4,Answer1
198,1r4k1/4rp1p/P2N2p1/2P5/3P1b2/5N2/R4PP1/6K1 w - - 0 1,Nb7,Nc4,Answer1
